column,total_non_null_records,Q1,Q3,IQR,iqr_lower_bound,iqr_upper_bound,iqr_outlier_count,iqr_outlier_percentage,zscore_outlier_count_3sd,percentile_1st_lower_count,percentile_99th_upper_count
Billed_Amount,2992,267.5375,893.5725,626.035,-671.515,1832.625,179,5.982620320855616,11,30,30
Allowed_Amount,2992,204.76250000000002,694.97,490.2075,-530.5487499999999,1430.28125,171,5.71524064171123,48,30,30
Paid_Amount,2992,205.415,699.63,494.21500000000003,-535.9075,1440.9524999999999,169,5.648395721925134,47,30,30
Patient_Responsibility,2992,47.355000000000004,201.8775,154.52249999999998,-184.42874999999998,433.66125,180,6.016042780748663,65,30,30
Retry_Count,2992,0.0,2.0,2.0,-3.0,5.0,0,0.0,0,0,0
Processing_Latency_Days,2973,1.0,3.0,2.0,-2.0,6.0,0,0.0,0,0,0
SLA_Target_Days,2992,2.0,2.0,0.0,2.0,2.0,0,0.0,0,0,0
Days_Supply,2992,30.0,60.0,30.0,-15.0,105.0,0,0.0,0,0,0
Quantity_Dispensed,2992,33.0,74.0,41.0,-28.5,135.5,0,0.0,0,0,30
