column,count,missing_count,mean,median,std,min,max,Q1,Q3,IQR,1st_percentile,5th_percentile,25th_percentile,50th_percentile,75th_percentile,95th_percentile,99th_percentile,skewness
Billed_Amount,5008,0,3002.7117761862946,1167.57,38955.38887250091,-11306.05,2510652.42419413,851.0,1617.66,766.6600000000001,120.66,312.97900000000004,851.0,1167.57,1617.66,8526.072999999957,18864.018099999998,56.01140279433239
Allowed_Amount,5008,0,1413.996567492013,905.51,2568.3011183433964,-1884.03,51194.77,623.565,1275.1675,651.6025,0.0,0.0,623.565,905.51,1275.1675,5328.904999999952,13620.376700000013,6.270789230380724
Paid_Amount,5008,0,1427.7991693290735,910.44,2594.680806492948,-11422.34,51194.77,625.9,1284.18,658.2800000000001,0.0,49.751000000000126,625.9,910.44,1284.18,5244.08,13664.729800000008,6.2127153858841835
Patient_Responsibility,5008,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retry_Count,5008,0,0.849241214057508,0.0,1.1306836867503693,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.9060715290934407
Processing_Latency_Days,4968,40,-0.9772544283413849,-1.0,3.2981631187377634,-8.0,6.0,-3.0,1.0,4.0,-8.0,-6.0,-3.0,-1.0,1.0,4.649999999999636,6.0,0.03214562842448256
SLA_Target_Days,5008,0,30.0,30.0,0.0,30.0,30.0,30.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
